CUST_CODE,CUST_TYPE,CUST_NAME,SH_NAME,GROUP_CODE,ADDR1,ADDR2,ADDR3,CITY,STATE_CODE,PIN,COUNT_CODE,STAN_CODE,TELE1,TELE2,TELE3,TELE_EXT,FAX,MODEM,CUST_CODE__BIL,BUSINESS,CREDIT_PRD,CREDIT_LMT,CHQ_NAME,CURR_CODE,PRICE_LIST,TAX_CLASS,ACCT_CODE__AR,CCTR_CODE__AR,TAX_CHAP,CR_TERM,TRAN_CODE,SALES_PERS,CEO,CEO_PFX,CONT_PERS,CONT_PFX,CONT_DEPT,CONT_PERS_TELE1,CONT_PERS_TELE2,CONT_PERS_FAX,CONT_PERS_ALT,CONT_PFX_ALT,CONT_DEPT_ALT,TELE_EXT_ALT,CONT_PERS_ALT_TELE1,CONT_PERS_ALT_TELE2,CONT_PERS_ALT_FAX,TAX_REG_1,TAX_REG_2,TAX_REG_3,WORK_ADDR1,WORK_ADDR2,WORK_ADDR3,WORK_CITY,WORK_PIN,WORK_TELE1,WORK_TELE2,WORK_FAX,EMAIL_ADDR,EDI_ADDR,CHANNEL_PARTNER,SITE_CODE,DIS_LINK,FIN_LINK,BLACK_LISTED,BLACK_LISTED_DATE,CONTACT_CODE,DRUG_LIC_NO,BANK_CODE,BANK_NAME,TRANS_MODE,RCP_MODE,IGNORE_CREDIT,CHG_DATE,CHG_USER,CHG_TERM,PENDING_ORDER,SITE_CODE__RCP,DRUG_LIC_NO_1,DRUG_LIC_NO_2,CST_NO,LST_NO,ECC_NO,ADD_DATE,ADD_USER,ADD_TERM,IGNORE_DAYS,ROUND,ROUND_TO,BANK_ADDR1,BANK_ADDR2,SALES_PERS__1,SALES_PERS__2,EXCISE_REF,CONSUME_FC,PRICE_LIST__DISC,DISC_PERC,LOCATED_AT,STOP_BUSINESS,MARKET_REG,SALES_OPTION,DLV_TERM,HOLD_SHIPMENT,REPL_FACTOR,REPL_OPT,COMM_PERC__BASE,ACCT_CODE__ADV,CCTR_CODE__ADV,LOCALITY_CODE,SPLIT_FACTOR,BANK_ACCT,SITE_CODE__PLUS,SITE_CODE__PBUS,LOC_GROUP,BUSINESS_START_DT,TAX_REG_ST,CUSTOMER_REF,CUST_ANAL,PART_QTY,SER_TAX_REG,ORDER_TYPE,MEMBER_CODE,PRICE_LIST__CLG,REPL_DLV_SCH,TERR_CODE,FRT_TERM,DRUG_LICNO_UPTO,DRUG_LICNO1_UPTO,DRUG_LICNO2_UPTO,AGREEMENT_NO,AGREEMENT_DATE,MIN_INV_AMT,CURR_CODE__FRT,CURR_CODE__INS,COMM_TABLE__1,COMM_TABLE__2,COMM_TABLE__3,EXCISE_REF1,EXCISE_REF2,EXCISE_REF3,REAS_CODE__BKLIST,ADHOC_REPL,ADHOC_REPL_PERC,UDF_NUM1,ADDL_LIC_NO,ADDL_LIC_UPTO,FULL_NAME,CUST_CATEGORY,FMT_CODE__SHIPPER,FMT_CODE__INNER,FMT_CODE__PALLET,UNIFORM_CODE,CR_TERM__NP,LOSS_PERC,TERM_TABLE__NO,LST_NO_DATE,CST_NO_DATE,ECC_NO_DATE,TAX_REG_1_DATE,TAX_REG_2_DATE,TAX_REG_3_DATE,TAX_REG_ST_DATE,SER_TAX_REG_DATE,UDF_STR1,CUST_COMM__GRP,AUTO_DEBIT__NOTE,SHIPMENT_LEAD__TIME,RATE_ROUND,RATE_ROUND_TO,MASTER_PACK,PD_GROUP,CANCEL_BO,CUST_CODE__PD,CUST_CODE__DISC,MIN_SHELF_LIFE,SINGLE_LOT,SGROUP_CODE,OLD_CUST_REF,CUST_CODE__AR,OLD_CORP_PARENT,STORE_NUMBER,AUTO_DEBIT_NOTE,CUST_TRAN_TYPE,ITA_REG_NO,ENG_NAME,BRACKET_GRP,CUST_DIS,ASN_REQD,RETURN_ALLOWED,WAVE_TYPE,SITE_CODE__PAY,SHIP_CONS_GRP,PROS_CUST_CODE,PAN_NO,TAN_NO,EDI_REQD,REGISTR_1,REGISTR_2,REGISTR_3,REGISTR_4,REGISTR_5,AVAILABLE_YN,EMP_CODE__ORD,EMP_CODE__ORD1,EDI_STAT,TNT_OPTION,AUTO_STK_ALLOC,EMAIL_NOTIFY,SMS_NOTIFY,COMM_TABLE,DISC_LIST,CUST_LANGUAGE,CONT_PERS_ALT1,CONT_PERS_ALT2,CONT_PERS_ALT3,CONT_PFX_ALT1,CONT_PFX_ALT2,CONT_PFX_ALT3,CUST_PRIORITY,POB_TAX_REG,MOBILE_NO_TAX_REG,EMAIL_ID_TAX_REG,DLV_GEO_POS,TAX_REG_4,TAX_REG_4_DATE,CUST_CODE__DLV,EINV_REQD,AUTO_ADJ_METHOD,ACQ_CHANNEL,ACQ_CHANNEL_NAME,CUST_STATUS,STATUS_DATE,TAX_ENV
WB0085    ,S,TARAKNATH ENTERPRISE,TARAKNATH ENTERPRISE,WB0085    ,"STATION ROAD,BARUIPARA","ROOM NO 23,1ST FLOOR",KALNA ,BURDWAN,WB   ,713409,IND  ,WB378,03454 255572,9434331010,,,,,WB0085    ,,21,9999999,TARAKNATH ENTERPRISE,INR  ,OTPTS,REG  ,21300001,0,,CD021,EA00000001,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19ADEPB8375J1Z8,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,,R,Q,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,8259/SW/20B,8260/SBW/21B,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,7-25-2018,,,,2,,LOC,,ALMRP,,41,,11-30-2023,11-30-2023,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,ADEPB8375J,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0086    ,S,THE GOLDEN MEDICOS,THE GOLDEN MEDICOS,WB0086    ,"SANKARARA,","TAMLUK,",,PURBA MEDINIPUR,WB   ,721636,IND  ,WB383,03228-263847,9474306198,,,,,WB0086    ,,21,9999999,THE GOLDEN MEDICOS,INR  ,OTPTS,REG  ,21300001,0,,CD021,DT00000043,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19ALHPM4473F1ZV,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,UNION BANK OF INDIA,R,Q,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,1679SW/20B,1675SBW/21B,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,11-21-2018,,,,2,,LOC,,ALMRP,,270,,11-11-2022,11-11-2022,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,ALHPM4473F,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0087    ,C,THE MANI SAUDHA,THE MANI SAUDHA,WB0087    ,"62/1, SAMBHUNATH PANDIT STREET",KOLKATA,,KOLKATA,WB   ,,IND  ,WB208,6451 5298,9830257005,,,,,WB0087    ,,15,9999999,THE MANI SAUDHA,INR  ,OTPTS,REG  ,21300001,0,,CD015,DT00000043,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19ALKPD5143L1ZV,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,,R,Q,1,6-13-2019 1:43 PM,ADMIN3    ,SYSTEM,N,S0013,12088SW,11895SBW,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,03-04-2016,,,,2,,LOC,,ALMRP,,100,,,,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,ALKPD5143L,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0088    ,S,THE NEW GOURI ENTERPRISE,THE NEW GOURI ENTERP,WB0088    ,"116/173, N.R.ROAD",ASANSOL,,ASANSOL,WB   ,713301,IND  ,WB008,,9732263730,,,,,WB0088    ,,21,9999999,THE NEW GOURI ENTERPRISE,INR  ,OTPTS,REG  ,21300001,0,,CD021,KK00000001,DUMMY     ,,,,,,,,,,,,,,,,,19AXHPK2088G1Z8,,,,,,,,,,,,,S0013,,,N,,9999999999,,,UNION BANK OF INDIA,R,,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,44SW,45SBW,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,,,,,A,NA   ,,,,,21300001,0,,,,,,,03-04-2016,,,,2,,LOC,,ALMRP,,265,,,,,,,,INR  ,INR  ,,,,,,,,,,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXHPK2088G,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0089    ,S,THE NEW SM DISTRIBUTORS,THE NEW SM DISTRIBUT,WB0089    ,"VILL-KHAMARGORI,",ARRAMBAG BATTA,ARRAMBAG,HOOGHLY,WB   ,712601,IND  ,WB008,,9733892101,,,,,WB0089    ,,21,9999999,THE NEW SM DISTRIBUTORS,INR  ,OTPTS,REG  ,21300001,0,,CD021,EA00000001,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19AAIFT9912E1ZV,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,ALLAHABAD BANK,R,Q,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,11630SW,11631SBW,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,03-04-2016,,,,2,,LOC,,ALMRP,,265,,,,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,AAIFT9912E,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0090    ,S,TRIPATHI ENTERPRISE,TRIPATHI ENTERPRISE,WB0090    ,"PLOT NO-356,JL NO-190,","TALKUI,HABIBPUR","MIDNAPORE,WEST MEDINIPUR",MIDNAPORE,WB   ,721102,IND  ,WB232,,8972637905,,,,,WB0090    ,,21,9999999,TRIPATHI ENTERPRISE,INR  ,OTPTS,REG  ,21300001,0,,CD021,EA00000001,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19BCWPT7513A1Z6,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,ANDHRA BANK,R,Q,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,WB/PSA/1549/SW/20B,WB/PSA/1550/SBW/21B,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,7-17-2018,,,,2,,LOC,,ALMRP,,170,,9-26-2023,9-26-2023,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,BCWPT7513A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0091    ,S,UJJAL MEDICAL AGENCY,UJJAL MEDICAL AGENCY,WB0091    ,GOUR ROAD (GOALTULI LANE),"MOKDUMPUR , MALDA",,MALDA,WB   ,,IND  ,WB213,,9434456172,,,,,WB0091    ,,21,9999999,UJJAL MEDICAL AGENCY,INR  ,OTPTS,REG  ,21300001,0,,CD021,EA00000001,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19AVGPS7702Q1ZP,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,UCO BANK,R,Q,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,4180SW,4181SBW,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,03-04-2016,,,,2,,LOC,,ALMRP,,212,,,,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,AVGPS7702Q,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
WB0092    ,S,UNIQUE SALES AGENCY,UNIQUE SALES AGENCY,WB0092    ,"83/9, DUM DUM ROAD",NEAR LILA CINEMA,DUMDUM,KOLKATA,WB   ,700074,IND  ,WB208,033-2548 2900,,,,,,WB0092    ,,15,9999999,UNIQUE SALES AGENCY,INR  ,OTPTS,REG  ,21300001,0,,CD015,EA00000001,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,19ALSPS6790A1ZG,,,,,,,,,,,,,S0013,N,N,N,,9999999999,,,BANK OF BARODA,R,Q,1,06-08-2019 15:15,ADMIN3    ,SYSTEM,N,S0013,5510SW,4462SBW,,,,9-17-2018,MESMERSCM ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,03-04-2016,,,,2,,LOC,,ALMRP,,100,,,,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,ALSPS6790A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
DL0021    ,C,SABKA CHEMIST (RN),SABKA CHEMIST (RN),DL0021    ,"30/44  G F OLD RAJINDER NAGAR,",,,NEW DELHI,DL   ,110060,IND  ,DL001,45793610,9810554456,,,,,DL0021    ,,21,9999999,SABKA CHEMIST (RN),INR  ,OTPTS,REG  ,21300001,0,,CD021,DT00000043,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,07ADMPT5452C1ZE,,,,,,,,,,,,,S0019,N,N,N,,9999999999,,,PUNJAB NATIONAL BANK,R,Q,1,6-13-2019 1:43 PM,ADMIN3    ,SYSTEM,N,S0019,RAJ20(101544),RAJ20(101544),,,,10-09-2018,MEMER3    ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,09-10-2018,,,,2,,LOC,,ALMRP,,29,,,,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,NOVO ,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,ADMPT5452C,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
CM0083    ,C,TIRUPUR CARE CENTRE,TIRUPUR CARE CENTRE,CM0083    ,"NO;14,RAYAPURAM EAST ST,","NEAR NANJAPPA SCHOOL,TIRUPUR",,TIRUPUR,TN   ,641602,IND  ,TN071,,,,,,,CM0083    ,,30,9999999,TIRUPUR CARE CENTRE,INR  ,TNPTS,REG  ,21300001,0,,CD030,DT00000043,DUMMY     ,,Mr.,,Mr.,,,,,,Mr.,,,,,,,UNREGISTER,,,,,,,,,,,,,PR002,N,N,N,,9999999999,,,,R,Q,1,6-13-2019 1:43 PM,ADMIN3    ,SYSTEM,N,PR002,,,,,,10-12-2018,MEMER1    ,SYSTEM         ,,R,1,,,,,,,,0,L,,,A,NA   ,,,,,21300001,0,,,,,,,12-09-2015,,,,2,,LOC,,ALMRP,,301,,,,,,,,INR  ,INR  ,,,,,,,,,0,,,,,,,,,,,,MSMER,,,,,,,,,OTPTR,,,,N,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
